Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 86.87      6.68     6.68       20   334.00   384.00  ros_image_filters_0706_step
 13.00      7.68     1.00       40    25.00    25.00  A1(double const*, double*, B_A1*)
  0.13      7.69     0.01        1    10.00    10.00  ros_image_filters_0706_initialize
  0.00      7.69     0.00    27139     0.00     0.00  genrand_uint32_vector(unsigned int*, unsigned int*)
  0.00      7.69     0.00    15200     0.00     0.00  eml_rand_mt19937ar_g2(unsigned int*)
  0.00      7.69     0.00    15200     0.00     0.00  randn()
  0.00      7.69     0.00    11578     0.00     0.00  eml_rand_mt19937ar_g(unsigned int*)
  0.00      7.69     0.00     7778     0.00     0.00  rand_oi()
  0.00      7.69     0.00     7600     0.00     0.00  eval_at_p_b(double const*, double, double const*)
  0.00      7.69     0.00     3819     0.00     0.00  rtIsNaN
  0.00      7.69     0.00     3800     0.00     0.00  sum_j(unsigned char const*)
  0.00      7.69     0.00      935     0.00     0.00  waitForTimerEvent(int)
  0.00      7.69     0.00      430     0.00     0.00  boost::detail::atomic_decrement(int*)
  0.00      7.69     0.00      400     0.00     0.00  eml_rand_mt19937ar(unsigned int*)
  0.00      7.69     0.00      400     0.00     0.00  rand_e()
  0.00      7.69     0.00      242     0.00     0.00  genrandu_h(unsigned int*)
  0.00      7.69     0.00      240     0.00     0.00  std::_Iter_base<unsigned char const*, false>::_S_base(unsigned char const*)
  0.00      7.69     0.00      160     0.00     0.00  div_nzp_s32(int, int)
  0.00      7.69     0.00      120     0.00     0.00  boost::shared_ptr<ros::Publisher::Impl>::operator->() const
  0.00      7.69     0.00      120     0.00     0.00  std::_Miter_base<unsigned char const*>::iterator_type std::__miter_base<unsigned char const*>(unsigned char const*)
  0.00      7.69     0.00      120     0.00     0.00  std::_Niter_base<unsigned char const*>::iterator_type std::__niter_base<unsigned char const*>(unsigned char const*)
  0.00      7.69     0.00      120     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      7.69     0.00      105     0.00     0.00  boost::detail::shared_count::~shared_count()
  0.00      7.69     0.00       90     0.00     0.00  boost::detail::shared_count::shared_count()
  0.00      7.69     0.00       80     0.00     0.00  rt_roundd_snf(double)
  0.00      7.69     0.00       69     0.00     0.00  boost::function_base::function_base()
  0.00      7.69     0.00       63     0.00     0.00  boost::function_base::has_trivial_copy_and_destroy() const
  0.00      7.69     0.00       58     0.00     0.00  boost::detail::sp_counted_base::weak_release()
  0.00      7.69     0.00       55     0.00     0.00  boost::detail::sp_counted_base::destroy()
  0.00      7.69     0.00       48     0.00     0.00  boost::shared_ptr<void const>::~shared_ptr()
  0.00      7.69     0.00       44     0.00     0.00  boost::shared_array<unsigned char>::~shared_array()
  0.00      7.69     0.00       44     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00      7.69     0.00       43     0.00     0.00  boost::shared_ptr<void const>::shared_ptr()
  0.00      7.69     0.00       43     0.00     0.00  operator new(unsigned int, void*)
  0.00      7.69     0.00       42     0.00     0.00  ros::message_traits::MD5Sum<sensor_msgs::Image_<std::allocator<void> > >::value()
  0.00      7.69     0.00       42     0.00     0.00  boost::detail::function::has_empty_target(...)
  0.00      7.69     0.00       42     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char* const&)
  0.00      7.69     0.00       41     0.00     0.00  ros::message_traits::MD5Sum<geometry_msgs::Point_<std::allocator<void> > >::value()
